Age,Age_Category,Gender,Occupational_Status,State,City,Latitude,Longitude,Residence,Favourite_Shows,Series_Genre
19,11-20,Male,Student,Kerala,Kannur,11.8745,75.3704,Rural,Brooklyn Nine-Nine,Comedy
44,41-50,Female,Employed,Karnataka,Bangalore,12.9699,77.598,Rural,The Good Doctor,Medical Drama
44,41-50,Female,Employed,Karnataka,Bangalore,12.9699,77.598,Rural,Bridgerton,Drama
23,21-30,Male,Employed,Gujarat,Vadodara,22.3,73.2,Metrpolitan,Friends,Comedy
23,21-30,Male,Employed,Gujarat,Vadodara,22.3,73.2,Metrpolitan,Rick And Morty,Comedy
23,21-30,Male,Employed,Gujarat,Vadodara,22.3,73.2,Metrpolitan,Breaking Bad,Crime
15,11-20,Female,Student,Kerala,Kochi,9.9667,76.2833,Town/City,Vincenzo,K-drama
15,11-20,Female,Student,Kerala,Kochi,9.9667,76.2833,Town/City,It's Okay To Not Be Okay,K-drama
15,11-20,Female,Student,Kerala,Kochi,9.9667,76.2833,Town/City,Fate The Winx Saga,Adventure
20,11-20,Female,Student,Jharkhand,Deoghar,24.4852,86.6948,Town/City,Dark,Thriller
20,11-20,Female,Student,Jharkhand,Deoghar,24.4852,86.6948,Town/City,Stranger Things,Horror
20,11-20,Female,Student,Jharkhand,Deoghar,24.4852,86.6948,Town/City,Special Ops,Thriller
23,21-30,Male,Employed,Kerala,Kannur,11.8745,75.3704,Rural,All Of Us Are Dead,K-drama
23,21-30,Male,Employed,Kerala,Kannur,11.8745,75.3704,Rural,Friends,Comedy
20,11-20,Female,Student,Maharashtra,Thane,19.18,72.9633,Town/City,The Mentalist,Mystery
20,11-20,Female,Student,Maharashtra,Thane,19.18,72.9633,Town/City,The Big Bang Theory,Comedy
20,11-20,Female,Student,Maharashtra,Thane,19.18,72.9633,Town/City,Little Things,Indian TV series
20,11-20,Female,Student,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Demon Slayer,Anime
20,11-20,Female,Student,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Euphoria,Drama
20,11-20,Female,Student,Maharashtra,Thane,19.18,72.9633,Metrpolitan,All Of Us Are Dead,K-drama
20,11-20,Male,Student,Delhi,Delhi,28.66,77.23,Metrpolitan,Money Heist,Crime
20,11-20,Male,Student,Delhi,Delhi,28.66,77.23,Metrpolitan,Typewriter,Horror
20,11-20,Male,Student,Delhi,Delhi,28.66,77.23,Metrpolitan,Squid Game,K-drama
23,21-30,Male,Student,Kerala,Thrissur,10.52,76.21,Town/City,City Of Dreams,Mystery
23,21-30,Male,Student,Kerala,Thrissur,10.52,76.21,Town/City,White Collar,Mystery
23,21-30,Male,Student,Kerala,Thrissur,10.52,76.21,Town/City,Family Guy,Comedy
