Age,Age_Category,Gender,Occupational_Status,Annual_Salary,State,City,Latitude,Longitude,Residence,Genre
19,11-20,Male,Student,,Bihar,Jehanabad,25.2133,84.9853,Town/City,Crime/Mystery
19,11-20,Male,Student,,Bihar,Jehanabad,25.2133,84.9853,Town/City,Action
19,11-20,Male,Student,,Bihar,Jehanabad,25.2133,84.9853,Town/City,Thriller
22,21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Romantic Comedy
21,21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Romantic Comedy
21,21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Horror
21,21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Crime/Mystery
21,21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Action
21,21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Thriller
22,21-30,Male,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Romantic Comedy
22,21-30,Male,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Sci-Fi/Fantasy
22,21-30,Male,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Crime/Mystery
22,21-30,Male,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Action
22,21-30,Male,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Thriller
21,21-30,Male,Student,,Kerala,Kochi,9.9667,76.2833,Town/City,Horror
21,21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Romantic Comedy
21,21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Sci-Fi/Fantasy
21,21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Action
22,21-30,Male,Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Romantic Comedy
22,21-30,Male,Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Sci-Fi/Fantasy
22,21-30,Male,Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Horror
