Age,Age_Category,Gender,State,City,Latitude,Longitude,Residence,Occupational_Status,Favourite_Movies,Movie_Genre
52,51-60,Male,Kerala,Thrissur,10.52,76.21,Town/City,Employed,Home,Comedy
52,51-60,Male,Kerala,Thrissur,10.52,76.21,Town/City,Employed,Bheemante Vazhi,Comedy
52,51-60,Male,Kerala,Thrissur,10.52,76.21,Town/City,Employed,Veyilmarangal,Drama
19,11-20,Male,Bihar,Jehanabad,25.2133,84.9853,Town/City,Student,Jai Bhim,Mystery
19,11-20,Male,Bihar,Jehanabad,25.2133,84.9853,Town/City,Student,Marakkar,Drama
19,11-20,Male,Bihar,Jehanabad,25.2133,84.9853,Town/City,Student,Atragi Re,Romance
21,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Student,The Pursuit Of Happiness,Drama
21,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Student,The Shawshank Redemption,Drama
21,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Student,Bangalore Days,Romantic Comedy
22,21-30,Male,Gujarat,Vadodara,22.3,73.2,Town/City,Student,Pushpa,Action
22,21-30,Male,Gujarat,Vadodara,22.3,73.2,Town/City,Student,Spiderman,Superhero
22,21-30,Male,Gujarat,Vadodara,22.3,73.2,Town/City,Student,Shang-Chi,Fantasy
21,21-30,Male,Kerala,Kochi,9.9667,76.2833,Town/City,Student,The Darjeeling Limited,Comedy
21,21-30,Male,Kerala,Kochi,9.9667,76.2833,Town/City,Student,Moonrise Kingdom,Comedy
21,21-30,Male,Kerala,Kochi,9.9667,76.2833,Town/City,Student,Fantastic Mr. Fox,Animation
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Town/City,Employed,Avengers,Superhero
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Town/City,Employed,Iron Man,Sci-Fi
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Town/City,Employed,Sherlock Holmes,Mystery
22,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Employed,Sakath,Comedy
